"gameId","playId","displayName","ballCarrierDisplayName","tackler_display_name","Open_Field_Tackle_IND","Open_Field_Missed_Tackle_IND","Open_Field_Tackle_Opportunity","nflId","frameId","time","jerseyNumber","club","playDirection","x","y","s","a","dis","o","dir","event","position","pos_unique","WR1","CB1","ILB1","RB1","DE1","SS1","TE1","OLB1","FS1","CB2","MLB1","DT1","FB1","OLB2","FS2","DB1","ILB2","SS2","NT1","NT2","DT2","CB3","CB4","DE2","QB1","Yards_Away"
2022090800,56,"Stefon Diggs","Stefon Diggs",NA,NA,NA,NA,42489,6,"2022-09-08 20:24:05.700000",14,"BUF","left",79.85,35.59,4.61,4.82,0.45,114.27,202.2,"pass_outcome_caught","WR","WR1",0,2.82800282885289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.82800282885289
2022090800,56,"Jalen Ramsey",NA,"Jalen Ramsey",0,0,0,43294,6,"2022-09-08 20:24:05.700000",5,"LA","left",78.15,37.85,5.88,1.23,0.59,140.96,178.5,"pass_outcome_caught","CB","CB1",2.82800282885289,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.82800282885289
2022090800,122,"Bobby Wagner",NA,"Bobby Wagner",0,0,0,38577,6,"2022-09-08 20:25:51.500000",45,"LA","left",61.28,35.93,6.15,0.9,0.61,41.89,23.12,"pass_outcome_caught","ILB","ILB1",NA,NA,0,7.05992209588746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.05992209588746
2022090800,122,"Devin Singletary","Devin Singletary",NA,NA,NA,NA,47857,6,"2022-09-08 20:25:51.500000",26,"BUF","left",67.89,38.41,4.75,1.46,0.47,52.19,335.55,"pass_outcome_caught","RB","RB1",NA,NA,7.05992209588746,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.05992209588746
2022090800,167,"Stefon Diggs","Stefon Diggs",NA,NA,NA,NA,42489,6,"2022-09-08 20:27:10.900000",14,"BUF","left",51.68,27.87,5,1.4,0.5,117.58,226.52,"pass_outcome_caught","WR","WR1",0,NA,NA,NA,2.46221445044902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.46221445044902
2022090800,167,"Leonard Floyd",NA,"Leonard Floyd",1,0,1,43298,6,"2022-09-08 20:27:10.900000",54,"LA","left",51.35,30.31,5.21,2.97,0.5,187.23,208.17,"pass_outcome_caught","DE","DE1",2.46221445044902,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.46221445044902
2022090800,212,"Bobby Wagner",NA,"Bobby Wagner",1,0,1,38577,6,"2022-09-08 20:28:26.200000",45,"LA","left",37.54,46.02,8.6,1.23,0.86,355.17,336.33,"pass_outcome_caught","ILB","ILB1",NA,NA,0,0.861452262171265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.861452262171265
2022090800,212,"Zack Moss","Zack Moss",NA,NA,NA,NA,52494,6,"2022-09-08 20:28:26.200000",20,"BUF","left",37.68,46.87,7.26,2.74,0.74,93.99,331.4,"pass_outcome_caught","RB","RB1",NA,NA,0.861452262171265,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.861452262171265
2022090800,236,"Gabe Davis","Gabe Davis",NA,NA,NA,NA,52536,6,"2022-09-08 20:29:04.500000",13,"BUF","left",19.3,44.85,8.43,0.93,0.85,315.91,304.27,"pass_outcome_caught","WR","WR1",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2022090800,364,"Jordan Poyer",NA,"Jordan Poyer",1,0,1,40166,6,"2022-09-08 20:35:17.900000",21,"BUF","right",53.76,3.53,7.56,2.54,0.77,172.32,177.23,"pass_outcome_caught","SS","SS1",3.78338472799159,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.78338472799159
2022090800,364,"Cooper Kupp","Cooper Kupp",NA,NA,NA,NA,44881,6,"2022-09-08 20:35:17.900000",10,"LA","right",51.62,0.41,6.42,1.82,0.65,75.13,138.52,"pass_outcome_caught","WR","WR1",0,NA,NA,NA,NA,3.78338472799159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.78338472799159
